Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,lineage,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR7650757,ATAC-seq,122,7283214754,PRJNA484801,SAMN09769964,3162684610,Th1_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513690,GSM3320257,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320257,primary blood,SRP156496,no_treament
SRR7650758,ATAC-seq,124,7603465901,PRJNA484801,SAMN09769961,3281185990,Th1_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513691,GSM3320258,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320258,primary blood,SRP156496,treatment1
SRR7650759,ATAC-seq,125,7751914528,PRJNA484801,SAMN09769960,3371739114,Th17_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513692,GSM3320259,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320259,primary blood,SRP156496,no_treament
SRR7650760,ATAC-seq,125,6481933046,PRJNA484801,SAMN09769959,2819344051,Th17_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513693,GSM3320260,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320260,primary blood,SRP156496,treatment1
SRR7650761,ATAC-seq,125,6622914915,PRJNA484801,SAMN09769958,2837273284,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513694,GSM3320261,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320261,primary blood,SRP156496,no_treament
SRR7650762,ATAC-seq,120,5413683975,PRJNA484801,SAMN09769957,2324723362,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513695,GSM3320262,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320262,primary blood,SRP156496,treatment1
SRR7650763,ATAC-seq,132,10639781704,PRJNA484801,SAMN09769956,4516857196,Immature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513696,GSM3320263,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320263,primary blood,SRP156496,no_treament
SRR7650764,ATAC-seq,130,8005824230,PRJNA484801,SAMN09769955,3382306287,Mature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513697,GSM3320264,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320264,primary blood,SRP156496,no_treament
SRR7650765,ATAC-seq,134,8294458181,PRJNA484801,SAMN09769954,3542084327,Mature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513698,GSM3320265,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320265,primary blood,SRP156496,treatment1
SRR7650766,ATAC-seq,135,9925175176,PRJNA484801,SAMN09769953,4256589108,Memory_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513699,GSM3320266,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320266,primary blood,SRP156496,no_treament
SRR7650767,ATAC-seq,127,8031486057,PRJNA484801,SAMN09769952,3379505616,Monocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513700,GSM3320267,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320267,primary blood,SRP156496,no_treament
SRR7650768,ATAC-seq,129,7056880581,PRJNA484801,SAMN09769951,2972115786,Monocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513701,GSM3320268,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320268,primary blood,SRP156496,treatment1
SRR7650769,ATAC-seq,136,9036132866,PRJNA484801,SAMN09769950,3818595250,Myeloid_DCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513702,GSM3320269,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320269,primary blood,SRP156496,no_treament
SRR7650770,ATAC-seq,130,4056105064,PRJNA484801,SAMN09769949,1715004909,pDCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513703,GSM3320270,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320270,primary blood,SRP156496,no_treament
SRR7650771,ATAC-seq,135,6636426509,PRJNA484801,SAMN09769948,2914663496,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513704,GSM3320271,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320271,primary blood,SRP156496,no_treament
SRR7650772,ATAC-seq,133,6954117631,PRJNA484801,SAMN09769947,3096952371,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513705,GSM3320272,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320272,primary blood,SRP156496,treatment1
SRR7650773,ATAC-seq,135,3503975695,PRJNA484801,SAMN09769946,1536222581,Mem_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513706,GSM3320273,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320273,primary blood,SRP156496,no_treament
SRR7650774,ATAC-seq,133,8392199625,PRJNA484801,SAMN09770001,3837443843,Mem_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513707,GSM3320274,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320274,primary blood,SRP156496,treatment1
SRR7650775,ATAC-seq,135,6345629652,PRJNA484801,SAMN09770000,2817643458,Naive_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513708,GSM3320275,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320275,primary blood,SRP156496,no_treament
SRR7650776,ATAC-seq,131,6660569391,PRJNA484801,SAMN09769999,2972718411,Naive_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513709,GSM3320276,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320276,primary blood,SRP156496,treatment1
SRR7650777,ATAC-seq,134,7417845009,PRJNA484801,SAMN09769998,3289721607,Plasmablasts,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513710,GSM3320277,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320277,primary blood,SRP156496,no_treament
SRR7650778,ATAC-seq,132,6135120672,PRJNA484801,SAMN09769997,2761626320,CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513711,GSM3320278,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320278,primary blood,SRP156496,no_treament
SRR7650779,ATAC-seq,129,7443724062,PRJNA484801,SAMN09769996,3360932315,CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513712,GSM3320279,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320279,primary blood,SRP156496,treatment1
SRR7650780,ATAC-seq,133,6142309946,PRJNA484801,SAMN09769995,2738823113,Central_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513713,GSM3320280,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320280,primary blood,SRP156496,no_treament
SRR7650781,ATAC-seq,132,5094379535,PRJNA484801,SAMN09769994,2304852176,Central_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513714,GSM3320281,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320281,primary blood,SRP156496,treatment1
SRR7650782,ATAC-seq,131,5922846955,PRJNA484801,SAMN09769993,2642650639,Effector_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513715,GSM3320282,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320282,primary blood,SRP156496,no_treament
SRR7650783,ATAC-seq,133,4922196356,PRJNA484801,SAMN09769990,2240619895,Effector_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513716,GSM3320283,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320283,primary blood,SRP156496,treatment1
SRR7650784,ATAC-seq,137,6581648684,PRJNA484801,SAMN09769913,2890339287,Naive_CD8_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513717,GSM3320284,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320284,primary blood,SRP156496,no_treament
SRR7650785,ATAC-seq,137,6146294595,PRJNA484801,SAMN09769912,2710281085,Naive_CD8_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513718,GSM3320285,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320285,primary blood,SRP156496,treatment1
SRR7650796,ATAC-seq,133,3684138947,PRJNA484801,SAMN09769982,1619822974,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513729,GSM3320296,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320296,primary blood,SRP156496,no_treament
SRR7650797,ATAC-seq,134,6067146525,PRJNA484801,SAMN09769981,2690360596,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513730,GSM3320297,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320297,primary blood,SRP156496,treatment1
SRR7650804,ATAC-seq,136,5634557112,PRJNA484801,SAMN09769974,2476091364,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513737,GSM3320304,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320304,primary blood,SRP156496,no_treament
SRR7650805,ATAC-seq,137,5613066559,PRJNA484801,SAMN09769973,2508440948,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513738,GSM3320305,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320305,primary blood,SRP156496,treatment1
SRR7650806,ATAC-seq,134,5316952435,PRJNA484801,SAMN09769972,2396823424,Immature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513739,GSM3320306,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320306,primary blood,SRP156496,no_treament
SRR7650807,ATAC-seq,135,5420489073,PRJNA484801,SAMN09769971,2444890369,Mature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513740,GSM3320307,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320307,primary blood,SRP156496,treatment1
SRR7650808,ATAC-seq,137,5397393710,PRJNA484801,SAMN09769970,2376966626,Memory_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513741,GSM3320308,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320308,primary blood,SRP156496,no_treament
SRR7650810,ATAC-seq,133,3139034600,PRJNA484801,SAMN09769968,1406156520,Myeloid_DCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513743,GSM3320310,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320310,primary blood,SRP156496,no_treament
SRR7650811,ATAC-seq,137,6510712415,PRJNA484801,SAMN09769967,2919547070,pDCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1002,SRX4513744,GSM3320311,Illumina HiSeq 4000,PAIRED,other,GENOMIC,MYELOID,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320311,primary blood,SRP156496,no_treament
SRR7650812,ATAC-seq,115,3682701205,PRJNA484801,SAMN09769966,1722537168,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513745,GSM3320312,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320312,primary blood,SRP156496,no_treament
SRR7650813,ATAC-seq,118,8732557210,PRJNA484801,SAMN09769938,3709280117,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513746,GSM3320313,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320313,primary blood,SRP156496,treatment1
SRR7650833,ATAC-seq,120,11744519821,PRJNA484801,SAMN09769923,5061977584,Memory_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513766,GSM3320333,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320333,primary blood,SRP156496,treatment1
SRR7650834,ATAC-seq,110,13509140735,PRJNA484801,SAMN09769922,5807698009,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513767,GSM3320334,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320334,primary blood,SRP156496,no_treament
SRR7650842,ATAC-seq,121,8695603454,PRJNA484801,SAMN09769901,3824716267,Th17_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513775,GSM3320342,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320342,primary blood,SRP156496,treatment1
SRR7650843,ATAC-seq,116,6201074919,PRJNA484801,SAMN09769900,2785201845,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513776,GSM3320343,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320343,primary blood,SRP156496,no_treament
SRR7650844,ATAC-seq,113,7461159963,PRJNA484801,SAMN09769917,3204520849,Th2_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513777,GSM3320344,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320344,primary blood,SRP156496,treatment1
SRR7650845,ATAC-seq,103,4982431640,PRJNA484801,SAMN09769899,2348284921,Immature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513778,GSM3320345,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320345,primary blood,SRP156496,no_treament
SRR7650846,ATAC-seq,113,4821830055,PRJNA484801,SAMN09769898,2233996112,Mature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513779,GSM3320346,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320346,primary blood,SRP156496,no_treament
SRR7650847,ATAC-seq,122,5521513735,PRJNA484801,SAMN09769897,2570028267,Mature_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513780,GSM3320347,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320347,primary blood,SRP156496,treatment1
SRR7650848,ATAC-seq,126,1586371807,PRJNA484801,SAMN09769896,629484900,Memory_NK,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1003,SRX4513781,GSM3320348,Illumina HiSeq 4000,PAIRED,other,GENOMIC,NK,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320348,primary blood,SRP156496,no_treament
SRR7650860,ATAC-seq,124,7248828197,PRJNA484801,SAMN09769884,3014469684,Naive_CD8_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513793,GSM3320360,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320360,primary blood,SRP156496,treatment1
SRR7650861,ATAC-seq,129,5689182370,PRJNA484801,SAMN09769883,2367125751,Gamma_delta_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513794,GSM3320361,Illumina HiSeq 4000,PAIRED,other,GENOMIC,GD,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320361,primary blood,SRP156496,no_treament
SRR7650862,ATAC-seq,128,6806498833,PRJNA484801,SAMN09769882,2883266030,Gamma_delta_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513795,GSM3320362,Illumina HiSeq 4000,PAIRED,other,GENOMIC,GD,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320362,primary blood,SRP156496,treatment1
SRR7650863,ATAC-seq,129,5130946429,PRJNA484801,SAMN09769881,2229126246,Effector_CD4pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513796,GSM3320363,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320363,primary blood,SRP156496,no_treament
SRR7650864,ATAC-seq,133,6466803012,PRJNA484801,SAMN09769880,2759309245,Follicular_T_Helper,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513797,GSM3320364,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320364,primary blood,SRP156496,no_treament
SRR7650869,ATAC-seq,121,6557767748,PRJNA484801,SAMN09769875,2751671741,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1004,SRX4513802,GSM3320369,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320369,primary blood,SRP156496,treatment1
