Run,Group.ID,Sample.ID,Donor,Lineage,Cell_type,Stimulated,Treatment,Replicate,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,Consent,Experiment,GEO_Accession..exp.,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,source_name,SRA.Study
SRR11007072,Calderon-1001-Effector_CD4pos_T-Treatment_1,Calderon-1001-Effector_CD4pos_T-Treatment_1-1,Calderon-1001,CD4,Effector_CD4pos_T,TRUE,Treatment_1,1,RNA-Seq,192,7825870115,PRJNA484735,SAMN09768461,2647822574,GEO,public,SRX4510612,GSM3319761,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319761,primary blood,SRP156452
SRR11007073,Calderon-1001-Follicular_T_Helper-Control,Calderon-1001-Follicular_T_Helper-Control-1,Calderon-1001,CD4,Follicular_T_Helper,FALSE,Control,1,RNA-Seq,196,10836934814,PRJNA484735,SAMN09768460,3546103003,GEO,public,SRX4510613,GSM3319762,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319762,primary blood,SRP156452
SRR11007074,Calderon-1001-Follicular_T_Helper-Treatment_1,Calderon-1001-Follicular_T_Helper-Treatment_1-1,Calderon-1001,CD4,Follicular_T_Helper,TRUE,Treatment_1,1,RNA-Seq,193,11207562830,PRJNA484735,SAMN09768459,3613734326,GEO,public,SRX4510614,GSM3319763,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319763,primary blood,SRP156452
SRR11007075,Calderon-1001-Memory_Teffs-Control,Calderon-1001-Memory_Teffs-Control-1,Calderon-1001,CD4,Memory_Teffs,FALSE,Control,1,RNA-Seq,196,10556929565,PRJNA484735,SAMN09768458,3461487346,GEO,public,SRX4510615,GSM3319764,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319764,primary blood,SRP156452
SRR11007076,Calderon-1001-Memory_Teffs-Treatment_1,Calderon-1001-Memory_Teffs-Treatment_1-1,Calderon-1001,CD4,Memory_Teffs,TRUE,Treatment_1,1,RNA-Seq,194,7292922202,PRJNA484735,SAMN09768457,2482506175,GEO,public,SRX4510616,GSM3319765,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319765,primary blood,SRP156452
SRR11007077,Calderon-1001-Memory_Tregs-Control,Calderon-1001-Memory_Tregs-Control-1,Calderon-1001,CD4,Memory_Tregs,FALSE,Control,1,RNA-Seq,195,8771652456,PRJNA484735,SAMN09768456,2797943886,GEO,public,SRX4510617,GSM3319766,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319766,primary blood,SRP156452
SRR11007078,Calderon-1001-Memory_Tregs-Treatment_1,Calderon-1001-Memory_Tregs-Treatment_1-1,Calderon-1001,CD4,Memory_Tregs,TRUE,Treatment_1,1,RNA-Seq,195,10110585724,PRJNA484735,SAMN09768454,3336084216,GEO,public,SRX4510618,GSM3319767,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319767,primary blood,SRP156452
SRR11007079,Calderon-1001-Naive_Teffs-Control,Calderon-1001-Naive_Teffs-Control-1,Calderon-1001,CD4,Naive_Teffs,FALSE,Control,1,RNA-Seq,196,11808613752,PRJNA484735,SAMN09768453,3859944254,GEO,public,SRX4510619,GSM3319768,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319768,primary blood,SRP156452
SRR11007080,Calderon-1001-Naive_Teffs-Treatment_1,Calderon-1001-Naive_Teffs-Treatment_1-1,Calderon-1001,CD4,Naive_Teffs,TRUE,Treatment_1,1,RNA-Seq,192,10988322835,PRJNA484735,SAMN09768452,3784916463,GEO,public,SRX4510620,GSM3319769,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319769,primary blood,SRP156452
SRR11007081,Calderon-1001-Naive_Tregs-Control,Calderon-1001-Naive_Tregs-Control-1,Calderon-1001,CD4,Naive_Tregs,FALSE,Control,1,RNA-Seq,193,10072048817,PRJNA484735,SAMN09768451,3223000465,GEO,public,SRX4510621,GSM3319770,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319770,primary blood,SRP156452
SRR11007082,Calderon-1001-Regulatory_T-Control,Calderon-1001-Regulatory_T-Control-1,Calderon-1001,CD4,Regulatory_T,FALSE,Control,1,RNA-Seq,195,8833384775,PRJNA484735,SAMN09768442,2894554211,GEO,public,SRX4510622,GSM3319771,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319771,primary blood,SRP156452
SRR11007083,Calderon-1001-Regulatory_T-Treatment_1,Calderon-1001-Regulatory_T-Treatment_1-1,Calderon-1001,CD4,Regulatory_T,TRUE,Treatment_1,1,RNA-Seq,196,5221528425,PRJNA484735,SAMN09768415,1633489745,GEO,public,SRX4510623,GSM3319772,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319772,primary blood,SRP156452
SRR11007084,Calderon-1001-Th1_precursors-Control,Calderon-1001-Th1_precursors-Control-1,Calderon-1001,CD4,Th1_precursors,FALSE,Control,1,RNA-Seq,195,11695686307,PRJNA484735,SAMN09768455,3810824321,GEO,public,SRX4510624,GSM3319773,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319773,primary blood,SRP156452
SRR11007085,Calderon-1001-Th1_precursors-Treatment_1,Calderon-1001-Th1_precursors-Treatment_1-1,Calderon-1001,CD4,Th1_precursors,TRUE,Treatment_1,1,RNA-Seq,196,6458758569,PRJNA484735,SAMN09768414,2156324695,GEO,public,SRX4510625,GSM3319774,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319774,primary blood,SRP156452
SRR11007086,Calderon-1001-Th17_precursors-Control,Calderon-1001-Th17_precursors-Control-1,Calderon-1001,CD4,Th17_precursors,FALSE,Control,1,RNA-Seq,196,12454004683,PRJNA484735,SAMN09768413,4040807806,GEO,public,SRX4510626,GSM3319775,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319775,primary blood,SRP156452
SRR11007087,Calderon-1001-Th17_precursors-Treatment_1,Calderon-1001-Th17_precursors-Treatment_1-1,Calderon-1001,CD4,Th17_precursors,TRUE,Treatment_1,1,RNA-Seq,191,7637197060,PRJNA484735,SAMN09768412,2410639764,GEO,public,SRX4510627,GSM3319776,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319776,primary blood,SRP156452
SRR11007088,Calderon-1001-Th2_precursors-Control,Calderon-1001-Th2_precursors-Control-1,Calderon-1001,CD4,Th2_precursors,FALSE,Control,1,RNA-Seq,195,11136986310,PRJNA484735,SAMN09768411,3640784083,GEO,public,SRX4510628,GSM3319777,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319777,primary blood,SRP156452
SRR11007089,Calderon-1001-Th2_precursors-Treatment_1,Calderon-1001-Th2_precursors-Treatment_1-1,Calderon-1001,CD4,Th2_precursors,TRUE,Treatment_1,1,RNA-Seq,193,10818337546,PRJNA484735,SAMN09768410,3566874765,GEO,public,SRX4510629,GSM3319778,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319778,primary blood,SRP156452
SRR11007090,Calderon-1001-Mature_NK-Control,Calderon-1001-Mature_NK-Control-1,Calderon-1001,NK,Mature_NK,FALSE,Control,1,RNA-Seq,195,7401447967,PRJNA484735,SAMN09768409,2440639321,GEO,public,SRX4510630,GSM3319779,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319779,primary blood,SRP156452
SRR11007091,Calderon-1001-Mature_NK-Treatment_1,Calderon-1001-Mature_NK-Treatment_1-1,Calderon-1001,NK,Mature_NK,TRUE,Treatment_1,1,RNA-Seq,196,7549828661,PRJNA484735,SAMN09768408,2363456882,GEO,public,SRX4510631,GSM3319780,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319780,primary blood,SRP156452
SRR11007092,Calderon-1001-Monocytes-Control,Calderon-1001-Monocytes-Control-1,Calderon-1001,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,193,7814901956,PRJNA484735,SAMN09768405,2426799788,GEO,public,SRX4510632,GSM3319781,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319781,primary blood,SRP156452
SRR11007093,Calderon-1001-Monocytes-Treatment_1,Calderon-1001-Monocytes-Treatment_1-1,Calderon-1001,MYELOID,Monocytes,TRUE,Treatment_1,1,RNA-Seq,193,6635964177,PRJNA484735,SAMN09768443,2090031329,GEO,public,SRX4510633,GSM3319782,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319782,primary blood,SRP156452
SRR11007094,Calderon-1001-Myeloid_DCs-Control,Calderon-1001-Myeloid_DCs-Control-1,Calderon-1001,MYELOID,Myeloid_DCs,FALSE,Control,1,RNA-Seq,195,7979357322,PRJNA484735,SAMN09768666,2532178301,GEO,public,SRX4510634,GSM3319783,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319783,primary blood,SRP156452
SRR11007095,Calderon-1001-pDCs-Control,Calderon-1001-pDCs-Control-1,Calderon-1001,MYELOID,pDCs,FALSE,Control,1,RNA-Seq,195,8288405292,PRJNA484735,SAMN09768665,2696032306,GEO,public,SRX4510635,GSM3319784,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319784,primary blood,SRP156452
SRR11007096,Calderon-1002-CD8pos_T-Control,Calderon-1002-CD8pos_T-Control-1,Calderon-1002,CD8,CD8pos_T,FALSE,Control,1,RNA-Seq,177,9449886935,PRJNA484735,SAMN09768661,3127354412,GEO,public,SRX4510641,GSM3319790,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319790,primary blood,SRP156452
SRR11007097,Calderon-1002-CD8pos_T-Treatment_1,Calderon-1002-CD8pos_T-Treatment_1-1,Calderon-1002,CD8,CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,178,5109228744,PRJNA484735,SAMN09768660,1651445171,GEO,public,SRX4510642,GSM3319791,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319791,primary blood,SRP156452
SRR11007098,Calderon-1002-Central_memory_CD8pos_T-Treatment_1,Calderon-1002-Central_memory_CD8pos_T-Treatment_1-1,Calderon-1002,CD8,Central_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,177,5484769719,PRJNA484735,SAMN09768659,1771589911,GEO,public,SRX4510643,GSM3319792,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319792,primary blood,SRP156452
SRR11007099,Calderon-1002-Effector_memory_CD8pos_T-Control,Calderon-1002-Effector_memory_CD8pos_T-Control-1,Calderon-1002,CD8,Effector_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,178,10293261671,PRJNA484735,SAMN09768658,3422649503,GEO,public,SRX4510644,GSM3319793,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319793,primary blood,SRP156452
SRR11007100,Calderon-1002-Effector_memory_CD8pos_T-Treatment_1,Calderon-1002-Effector_memory_CD8pos_T-Treatment_1-1,Calderon-1002,CD8,Effector_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,177,5662792402,PRJNA484735,SAMN09768657,1835752038,GEO,public,SRX4510645,GSM3319794,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319794,primary blood,SRP156452
SRR11007102,Calderon-1002-Naive_CD8_T-Control,Calderon-1002-Naive_CD8_T-Control-1,Calderon-1002,CD8,Naive_CD8_T,FALSE,Control,1,RNA-Seq,178,8572868609,PRJNA484735,SAMN09768656,2850878585,GEO,public,SRX4510646,GSM3319795,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319795,primary blood,SRP156452
SRR11007103,Calderon-1002-Naive_CD8_T-Treatment_1,Calderon-1002-Naive_CD8_T-Treatment_1-1,Calderon-1002,CD8,Naive_CD8_T,TRUE,Treatment_1,1,RNA-Seq,179,6396368661,PRJNA484735,SAMN09768655,2049842960,GEO,public,SRX4510647,GSM3319796,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319796,primary blood,SRP156452
SRR11007104,Calderon-1002-Gamma_delta_T-Control,Calderon-1002-Gamma_delta_T-Control-1,Calderon-1002,GD,Gamma_delta_T,FALSE,Control,1,RNA-Seq,180,8027270177,PRJNA484735,SAMN09768654,2662849183,GEO,public,SRX4510648,GSM3319797,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319797,primary blood,SRP156452
SRR11007105,Calderon-1002-Effector_CD4pos_T-Treatment_1,Calderon-1002-Effector_CD4pos_T-Treatment_1-1,Calderon-1002,CD4,Effector_CD4pos_T,TRUE,Treatment_1,1,RNA-Seq,180,7016372821,PRJNA484735,SAMN09768653,2223451861,GEO,public,SRX4510649,GSM3319798,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319798,primary blood,SRP156452
SRR11007106,Calderon-1002-Follicular_T_Helper-Control,Calderon-1002-Follicular_T_Helper-Control-1,Calderon-1002,CD4,Follicular_T_Helper,FALSE,Control,1,RNA-Seq,181,6850735808,PRJNA484735,SAMN09768652,2410455431,GEO,public,SRX4510650,GSM3319799,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319799,primary blood,SRP156452
SRR11007107,Calderon-1002-Follicular_T_Helper-Treatment_1,Calderon-1002-Follicular_T_Helper-Treatment_1-1,Calderon-1002,CD4,Follicular_T_Helper,TRUE,Treatment_1,1,RNA-Seq,152,5967554177,PRJNA484735,SAMN09768651,2650656242,GEO,public,SRX4510651,GSM3319800,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-24T00:00:00Z,GSM3319800,primary blood,SRP156452
SRR11007108,Calderon-1002-Memory_Teffs-Control,Calderon-1002-Memory_Teffs-Control-1,Calderon-1002,CD4,Memory_Teffs,FALSE,Control,1,RNA-Seq,181,8482314772,PRJNA484735,SAMN09768650,2800442189,GEO,public,SRX4510652,GSM3319801,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319801,primary blood,SRP156452
SRR11007109,Calderon-1002-Memory_Teffs-Treatment_1,Calderon-1002-Memory_Teffs-Treatment_1-1,Calderon-1002,CD4,Memory_Teffs,TRUE,Treatment_1,1,RNA-Seq,182,5992951882,PRJNA484735,SAMN09768649,1926709068,GEO,public,SRX4510653,GSM3319802,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319802,primary blood,SRP156452
SRR11007110,Calderon-1002-Memory_Tregs-Treatment_1,Calderon-1002-Memory_Tregs-Treatment_1-1,Calderon-1002,CD4,Memory_Tregs,TRUE,Treatment_1,1,RNA-Seq,180,5756640434,PRJNA484735,SAMN09768648,1827014072,GEO,public,SRX4510654,GSM3319803,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319803,primary blood,SRP156452
SRR11007111,Calderon-1002-Naive_Teffs-Control,Calderon-1002-Naive_Teffs-Control-1,Calderon-1002,CD4,Naive_Teffs,FALSE,Control,1,RNA-Seq,182,8454854900,PRJNA484735,SAMN09768725,2925526728,GEO,public,SRX4510655,GSM3319804,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319804,primary blood,SRP156452
SRR11007112,Calderon-1002-Naive_Teffs-Treatment_1,Calderon-1002-Naive_Teffs-Treatment_1-1,Calderon-1002,CD4,Naive_Teffs,TRUE,Treatment_1,1,RNA-Seq,179,5274150779,PRJNA484735,SAMN09768724,1696233564,GEO,public,SRX4510656,GSM3319805,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319805,primary blood,SRP156452
SRR11007113,Calderon-1002-Regulatory_T-Control,Calderon-1002-Regulatory_T-Control-1,Calderon-1002,CD4,Regulatory_T,FALSE,Control,1,RNA-Seq,182,8861521200,PRJNA484735,SAMN09768723,3199197788,GEO,public,SRX4510657,GSM3319806,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319806,primary blood,SRP156452
SRR11007114,Calderon-1002-Regulatory_T-Treatment_1,Calderon-1002-Regulatory_T-Treatment_1-1,Calderon-1002,CD4,Regulatory_T,TRUE,Treatment_1,1,RNA-Seq,180,5849344411,PRJNA484735,SAMN09768722,1852774479,GEO,public,SRX4510658,GSM3319807,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319807,primary blood,SRP156452
SRR11007115,Calderon-1002-Th1_precursors-Control,Calderon-1002-Th1_precursors-Control-1,Calderon-1002,CD4,Th1_precursors,FALSE,Control,1,RNA-Seq,177,8517448890,PRJNA484735,SAMN09768721,2816163377,GEO,public,SRX4510659,GSM3319808,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319808,primary blood,SRP156452
SRR11007116,Calderon-1002-Th1_precursors-Treatment_1,Calderon-1002-Th1_precursors-Treatment_1-1,Calderon-1002,CD4,Th1_precursors,TRUE,Treatment_1,1,RNA-Seq,178,5228464080,PRJNA484735,SAMN09768720,1675254546,GEO,public,SRX4510660,GSM3319809,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319809,primary blood,SRP156452
