Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donorid,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,source_name,SRA Study
SRR2920513,OTHER,152,9612031296,PRJNA301969,SAMN04262046,4355939619,CD19+CD20+ B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427836,GSM1937423,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937423,primary human blood cell from fresh sample,Bcell,SRP066100
SRR2920519,OTHER,152,4189685896,PRJNA301969,SAMN04262052,2209635867,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",5483,SRX1427842,GSM1937429,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937429,primary human blood cell from fresh sample,CD4Tcell,SRP066100
SRR2920520,OTHER,152,8963184184,PRJNA301969,SAMN04262053,4536850452,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",5483,SRX1427843,GSM1937430,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937430,primary human blood cell from fresh sample,CD8Tcell,SRP066100
SRR2920521,OTHER,152,9013928168,PRJNA301969,SAMN04262054,4773646257,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",5483,SRX1427844,GSM1937431,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937431,primary human blood cell from fresh sample,CD8Tcell,SRP066100
SRR2920522,OTHER,152,2505948304,PRJNA301969,SAMN04262055,1407470459,common lymphoid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",5483,SRX1427845,GSM1937432,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937432,primary human blood cell from fresh sample,CLP,SRP066100
SRR2920529,OTHER,152,1740110440,PRJNA301969,SAMN04262062,913586561,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6926,SRX1427852,GSM1937439,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937439,primary human blood cell from fresh sample,Ery,SRP066100
SRR2920530,OTHER,152,1586953264,PRJNA301969,SAMN04262063,831739625,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6926,SRX1427853,GSM1937440,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937440,primary human blood cell from fresh sample,Ery,SRP066100
SRR2920531,OTHER,152,5487873056,PRJNA301969,SAMN04262064,2574872237,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",7256,SRX1427854,GSM1937441,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937441,primary human blood cell from fresh sample,HSC,SRP066100
SRR2920532,OTHER,152,4534047368,PRJNA301969,SAMN04262065,2116553902,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",7256,SRX1427855,GSM1937442,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937442,primary human blood cell from fresh sample,HSC,SRP066100
SRR2920533,OTHER,152,6352295688,PRJNA301969,SAMN04262066,2977396443,multipotent progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",7256,SRX1427856,GSM1937443,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937443,primary human blood cell from fresh sample,MPP,SRP066100
SRR2920535,OTHER,152,4942019624,PRJNA301969,SAMN04262068,2435172275,lymphoid-primed multipotent progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",7256,SRX1427858,GSM1937445,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937445,primary human blood cell from fresh sample,LMPP,SRP066100
SRR2920536,OTHER,152,5485638808,PRJNA301969,SAMN04262069,2570278076,common myeloid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",7256,SRX1427859,GSM1937446,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937446,primary human blood cell from fresh sample,CMP,SRP066100
SRR2920544,OTHER,152,2087880512,PRJNA301969,SAMN04262070,1176993517,CD19+CD20+ B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",5483,SRX1427867,GSM1937454,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937454,primary human blood cell from fresh sample,Bcell,SRP066100
SRR2920547,OTHER,152,9803972792,PRJNA301969,SAMN04262127,4873332234,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU048,SRX1427870,GSM1937457,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937457,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920548,OTHER,152,764063720,PRJNA301969,SAMN04262128,410688224,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU048,SRX1427871,GSM1937458,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937458,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920549,OTHER,152,8125184624,PRJNA301969,SAMN04262129,4375110489,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU048,SRX1427872,GSM1937459,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937459,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920551,OTHER,152,8463248888,PRJNA301969,SAMN04262131,3746437357,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU048,SRX1427874,GSM1937461,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937461,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920552,OTHER,152,6108094008,PRJNA301969,SAMN04262132,2702986943,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU048,SRX1427875,GSM1937462,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937462,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920553,OTHER,100,3335440000,PRJNA301969,SAMN04262133,1984449347,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU070,SRX1427876,GSM1937463,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937463,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920554,OTHER,152,2087931280,PRJNA301969,SAMN04262134,1114923965,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU070,SRX1427877,GSM1937464,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937464,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920555,OTHER,100,2438593600,PRJNA301969,SAMN04262135,1471211973,"acute myeloid leukemia\, leukmeia stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU070,SRX1427878,GSM1937465,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937465,primary human leukemia cell from cryopreserved sample,LSC,SRP066100
SRR2920557,OTHER,152,1491284616,PRJNA301969,SAMN04262137,800888941,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU070,SRX1427880,GSM1937467,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937467,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920559,OTHER,152,3304454160,PRJNA301969,SAMN04262139,1521997113,"acute myeloid leukemia\, leukmeia stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU209,SRX1427882,GSM1937469,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937469,primary human leukemia cell from cryopreserved sample,LSC,SRP066100
SRR2920560,OTHER,152,2861732424,PRJNA301969,SAMN04262140,1224268836,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU209,SRX1427883,GSM1937470,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937470,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920564,OTHER,152,4126698312,PRJNA301969,SAMN04262144,1885467168,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU306,SRX1427887,GSM1937474,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937474,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920566,OTHER,152,5793535632,PRJNA301969,SAMN04262146,2634188533,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU336,SRX1427889,GSM1937476,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937476,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920569,OTHER,152,2678632312,PRJNA301969,SAMN04262149,1154548234,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU353,SRX1427892,GSM1937479,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937479,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920571,OTHER,152,4290264752,PRJNA301969,SAMN04262151,1833812913,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU353,SRX1427894,GSM1937481,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937481,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920574,OTHER,152,3743410552,PRJNA301969,SAMN04262152,1610426070,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU444,SRX1427897,GSM1937484,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937484,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920575,OTHER,152,2532893800,PRJNA301969,SAMN04262153,1185420393,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU484,SRX1427898,GSM1937485,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937485,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920576,OTHER,152,4186660640,PRJNA301969,SAMN04262154,1952289063,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU484,SRX1427899,GSM1937486,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937486,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920577,OTHER,152,2022481296,PRJNA301969,SAMN04262155,949735145,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU496,SRX1427900,GSM1937487,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937487,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920578,OTHER,152,4807500840,PRJNA301969,SAMN04262156,2247183153,"acute myeloid leukemia\, leukmeia stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU496,SRX1427901,GSM1937488,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937488,primary human leukemia cell from cryopreserved sample,LSC,SRP066100
SRR2920579,OTHER,152,6442961408,PRJNA301969,SAMN04262157,2988900824,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU496,SRX1427902,GSM1937489,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937489,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920582,OTHER,152,2996941744,PRJNA301969,SAMN04262162,1338839307,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU575,SRX1427905,GSM1937492,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937492,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920584,OTHER,152,3630931312,PRJNA301969,SAMN04262164,1616651879,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU575,SRX1427907,GSM1937494,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937494,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920585,OTHER,152,8753845072,PRJNA301969,SAMN04262165,3931497314,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU583,SRX1427908,GSM1937495,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937495,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920586,OTHER,152,3960661416,PRJNA301969,SAMN04262166,1801884678,"acute myeloid leukemia\, leukmeia stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU583,SRX1427909,GSM1937496,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937496,primary human leukemia cell from cryopreserved sample,LSC,SRP066100
SRR2920591,OTHER,152,6539080584,PRJNA301969,SAMN04262171,2913321285,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU623,SRX1427914,GSM1937501,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937501,primary human leukemia cell from cryopreserved sample,Blast,SRP066100
SRR2920592,OTHER,152,5003681464,PRJNA301969,SAMN04262172,2225393439,"acute myeloid leukemia\, pre-leukemic hematopoietic stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU623,SRX1427915,GSM1937502,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937502,primary human leukemia cell from cryopreserved sample,pHSC,SRP066100
SRR2920594,OTHER,152,5344978008,PRJNA301969,SAMN04262174,2420070714,"acute myeloid leukemia\, leukmeia stem cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SU654,SRX1427917,GSM1937504,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937504,primary human leukemia cell from cryopreserved sample,LSC,SRP066100
SRR2920466,OTHER,152,1009532776,PRJNA301969,SAMN04262106,402134906,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427789,GSM1937376,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937376,primary human blood cell from fresh sample,HSC,SRP066100
