Run,Group.ID,Sample.ID,Donor,Lineage,Cell_type,Stimulated,Treatment,Replicate,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study
SRR7650756,Calderon-1001-Regulatory_T-Treatment_1,Calderon-1001-Regulatory_T-Treatment_1-1,Calderon-1001,CD4,Regulatory_T,TRUE,Treatment_1,1,ATAC-Seq,132,3569919001,PRJNA484801,SAMN09769965,1535912454,GEO,public,SRX4513689,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320256,SRP156496
SRR7650757,Calderon-1001-Th1_precursors-Control,Calderon-1001-Th1_precursors-Control-1,Calderon-1001,CD4,Th1_precursors,FALSE,Control,1,ATAC-Seq,122,7283214754,PRJNA484801,SAMN09769964,3162684610,GEO,public,SRX4513690,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320257,SRP156496
SRR7650758,Calderon-1001-Th1_precursors-Treatment_1,Calderon-1001-Th1_precursors-Treatment_1-1,Calderon-1001,CD4,Th1_precursors,TRUE,Treatment_1,1,ATAC-Seq,124,7603465901,PRJNA484801,SAMN09769961,3281185990,GEO,public,SRX4513691,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320258,SRP156496
SRR7650759,Calderon-1001-Th17_precursors-Control,Calderon-1001-Th17_precursors-Control-1,Calderon-1001,CD4,Th17_precursors,FALSE,Control,1,ATAC-Seq,125,7751914528,PRJNA484801,SAMN09769960,3371739114,GEO,public,SRX4513692,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320259,SRP156496
SRR7650760,Calderon-1001-Th17_precursors-Treatment_1,Calderon-1001-Th17_precursors-Treatment_1-1,Calderon-1001,CD4,Th17_precursors,TRUE,Treatment_1,1,ATAC-Seq,125,6481933046,PRJNA484801,SAMN09769959,2819344051,GEO,public,SRX4513693,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320260,SRP156496
SRR7650761,Calderon-1001-Th2_precursors-Control,Calderon-1001-Th2_precursors-Control-1,Calderon-1001,CD4,Th2_precursors,FALSE,Control,1,ATAC-Seq,125,6622914915,PRJNA484801,SAMN09769958,2837273284,GEO,public,SRX4513694,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320261,SRP156496
SRR7650762,Calderon-1001-Th2_precursors-Treatment_1,Calderon-1001-Th2_precursors-Treatment_1-1,Calderon-1001,CD4,Th2_precursors,TRUE,Treatment_1,1,ATAC-Seq,120,5413683975,PRJNA484801,SAMN09769957,2324723362,GEO,public,SRX4513695,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320262,SRP156496
SRR7650763,Calderon-1001-Immature_NK-Control,Calderon-1001-Immature_NK-Control-1,Calderon-1001,NK,Immature_NK,FALSE,Control,1,ATAC-Seq,132,10639781704,PRJNA484801,SAMN09769956,4516857196,GEO,public,SRX4513696,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320263,SRP156496
SRR7650764,Calderon-1001-Mature_NK-Control,Calderon-1001-Mature_NK-Control-1,Calderon-1001,NK,Mature_NK,FALSE,Control,1,ATAC-Seq,130,8005824230,PRJNA484801,SAMN09769955,3382306287,GEO,public,SRX4513697,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320264,SRP156496
SRR7650765,Calderon-1001-Mature_NK-Treatment_1,Calderon-1001-Mature_NK-Treatment_1-1,Calderon-1001,NK,Mature_NK,TRUE,Treatment_1,1,ATAC-Seq,134,8294458181,PRJNA484801,SAMN09769954,3542084327,GEO,public,SRX4513698,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320265,SRP156496
SRR7650766,Calderon-1001-Memory_NK-Control,Calderon-1001-Memory_NK-Control-1,Calderon-1001,NK,Memory_NK,FALSE,Control,1,ATAC-Seq,135,9925175176,PRJNA484801,SAMN09769953,4256589108,GEO,public,SRX4513699,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320266,SRP156496
SRR7650767,Calderon-1001-Monocytes-Control,Calderon-1001-Monocytes-Control-1,Calderon-1001,MYELOID,Monocytes,FALSE,Control,1,ATAC-Seq,127,8031486057,PRJNA484801,SAMN09769952,3379505616,GEO,public,SRX4513700,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320267,SRP156496
SRR7650768,Calderon-1001-Monocytes-Treatment_1,Calderon-1001-Monocytes-Treatment_1-1,Calderon-1001,MYELOID,Monocytes,TRUE,Treatment_1,1,ATAC-Seq,129,7056880581,PRJNA484801,SAMN09769951,2972115786,GEO,public,SRX4513701,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320268,SRP156496
SRR7650769,Calderon-1001-Myeloid_DCs-Control,Calderon-1001-Myeloid_DCs-Control-1,Calderon-1001,MYELOID,Myeloid_DCs,FALSE,Control,1,ATAC-Seq,136,9036132866,PRJNA484801,SAMN09769950,3818595250,GEO,public,SRX4513702,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320269,SRP156496
SRR7650770,Calderon-1001-pDCs-Control,Calderon-1001-pDCs-Control-1,Calderon-1001,MYELOID,pDCs,FALSE,Control,1,ATAC-Seq,130,4056105064,PRJNA484801,SAMN09769949,1715004909,GEO,public,SRX4513703,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320270,SRP156496
SRR7650771,Calderon-1002-Bulk_B-Control,Calderon-1002-Bulk_B-Control-1,Calderon-1002,B,Bulk_B,FALSE,Control,1,ATAC-Seq,135,6636426509,PRJNA484801,SAMN09769948,2914663496,GEO,public,SRX4513704,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320271,SRP156496
SRR7650772,Calderon-1002-Bulk_B-Treatment_1,Calderon-1002-Bulk_B-Treatment_1-1,Calderon-1002,B,Bulk_B,TRUE,Treatment_1,1,ATAC-Seq,133,6954117631,PRJNA484801,SAMN09769947,3096952371,GEO,public,SRX4513705,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320272,SRP156496
SRR7650773,Calderon-1002-Mem_B-Control,Calderon-1002-Mem_B-Control-1,Calderon-1002,B,Mem_B,FALSE,Control,1,ATAC-Seq,135,3503975695,PRJNA484801,SAMN09769946,1536222581,GEO,public,SRX4513706,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320273,SRP156496
SRR7650774,Calderon-1002-Mem_B-Treatment_1,Calderon-1002-Mem_B-Treatment_1-1,Calderon-1002,B,Mem_B,TRUE,Treatment_1,1,ATAC-Seq,133,8392199625,PRJNA484801,SAMN09770001,3837443843,GEO,public,SRX4513707,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320274,SRP156496
SRR7650775,Calderon-1002-Naive_B-Control,Calderon-1002-Naive_B-Control-1,Calderon-1002,B,Naive_B,FALSE,Control,1,ATAC-Seq,135,6345629652,PRJNA484801,SAMN09770000,2817643458,GEO,public,SRX4513708,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320275,SRP156496
SRR7650776,Calderon-1002-Naive_B-Treatment_1,Calderon-1002-Naive_B-Treatment_1-1,Calderon-1002,B,Naive_B,TRUE,Treatment_1,1,ATAC-Seq,131,6660569391,PRJNA484801,SAMN09769999,2972718411,GEO,public,SRX4513709,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320276,SRP156496
SRR7650777,Calderon-1002-Plasmablasts-Control,Calderon-1002-Plasmablasts-Control-1,Calderon-1002,B,Plasmablasts,FALSE,Control,1,ATAC-Seq,134,7417845009,PRJNA484801,SAMN09769998,3289721607,GEO,public,SRX4513710,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320277,SRP156496
SRR7650778,Calderon-1002-CD8pos_T-Control,Calderon-1002-CD8pos_T-Control-1,Calderon-1002,CD8,CD8pos_T,FALSE,Control,1,ATAC-Seq,132,6135120672,PRJNA484801,SAMN09769997,2761626320,GEO,public,SRX4513711,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320278,SRP156496
SRR7650779,Calderon-1002-CD8pos_T-Treatment_1,Calderon-1002-CD8pos_T-Treatment_1-1,Calderon-1002,CD8,CD8pos_T,TRUE,Treatment_1,1,ATAC-Seq,129,7443724062,PRJNA484801,SAMN09769996,3360932315,GEO,public,SRX4513712,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320279,SRP156496
SRR7650780,Calderon-1002-Central_memory_CD8pos_T-Control,Calderon-1002-Central_memory_CD8pos_T-Control-1,Calderon-1002,CD8,Central_memory_CD8pos_T,FALSE,Control,1,ATAC-Seq,133,6142309946,PRJNA484801,SAMN09769995,2738823113,GEO,public,SRX4513713,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320280,SRP156496
SRR7650781,Calderon-1002-Central_memory_CD8pos_T-Treatment_1,Calderon-1002-Central_memory_CD8pos_T-Treatment_1-1,Calderon-1002,CD8,Central_memory_CD8pos_T,TRUE,Treatment_1,1,ATAC-Seq,132,5094379535,PRJNA484801,SAMN09769994,2304852176,GEO,public,SRX4513714,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320281,SRP156496
SRR7650782,Calderon-1002-Effector_memory_CD8pos_T-Control,Calderon-1002-Effector_memory_CD8pos_T-Control-1,Calderon-1002,CD8,Effector_memory_CD8pos_T,FALSE,Control,1,ATAC-Seq,131,5922846955,PRJNA484801,SAMN09769993,2642650639,GEO,public,SRX4513715,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320282,SRP156496
SRR7650783,Calderon-1002-Effector_memory_CD8pos_T-Treatment_1,Calderon-1002-Effector_memory_CD8pos_T-Treatment_1-1,Calderon-1002,CD8,Effector_memory_CD8pos_T,TRUE,Treatment_1,1,ATAC-Seq,133,4922196356,PRJNA484801,SAMN09769990,2240619895,GEO,public,SRX4513716,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320283,SRP156496
SRR7650784,Calderon-1002-Naive_CD8_T-Control,Calderon-1002-Naive_CD8_T-Control-1,Calderon-1002,CD8,Naive_CD8_T,FALSE,Control,1,ATAC-Seq,137,6581648684,PRJNA484801,SAMN09769913,2890339287,GEO,public,SRX4513717,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320284,SRP156496
SRR7650785,Calderon-1002-Naive_CD8_T-Treatment_1,Calderon-1002-Naive_CD8_T-Treatment_1-1,Calderon-1002,CD8,Naive_CD8_T,TRUE,Treatment_1,1,ATAC-Seq,137,6146294595,PRJNA484801,SAMN09769912,2710281085,GEO,public,SRX4513718,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320285,SRP156496
SRR7650796,Calderon-1002-Naive_Teffs-Control,Calderon-1002-Naive_Teffs-Control-1,Calderon-1002,CD4,Naive_Teffs,FALSE,Control,1,ATAC-Seq,133,3684138947,PRJNA484801,SAMN09769982,1619822974,GEO,public,SRX4513729,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320296,SRP156496
SRR7650797,Calderon-1002-Naive_Teffs-Treatment_1,Calderon-1002-Naive_Teffs-Treatment_1-1,Calderon-1002,CD4,Naive_Teffs,TRUE,Treatment_1,1,ATAC-Seq,134,6067146525,PRJNA484801,SAMN09769981,2690360596,GEO,public,SRX4513730,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320297,SRP156496
SRR7650804,Calderon-1002-Th2_precursors-Control,Calderon-1002-Th2_precursors-Control-1,Calderon-1002,CD4,Th2_precursors,FALSE,Control,1,ATAC-Seq,136,5634557112,PRJNA484801,SAMN09769974,2476091364,GEO,public,SRX4513737,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320304,SRP156496
SRR7650805,Calderon-1002-Th2_precursors-Treatment_1,Calderon-1002-Th2_precursors-Treatment_1-1,Calderon-1002,CD4,Th2_precursors,TRUE,Treatment_1,1,ATAC-Seq,137,5613066559,PRJNA484801,SAMN09769973,2508440948,GEO,public,SRX4513738,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320305,SRP156496
SRR7650806,Calderon-1002-Immature_NK-Control,Calderon-1002-Immature_NK-Control-1,Calderon-1002,NK,Immature_NK,FALSE,Control,1,ATAC-Seq,134,5316952435,PRJNA484801,SAMN09769972,2396823424,GEO,public,SRX4513739,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320306,SRP156496
SRR7650807,Calderon-1002-Mature_NK-Treatment_1,Calderon-1002-Mature_NK-Treatment_1-1,Calderon-1002,NK,Mature_NK,TRUE,Treatment_1,1,ATAC-Seq,135,5420489073,PRJNA484801,SAMN09769971,2444890369,GEO,public,SRX4513740,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320307,SRP156496
SRR7650808,Calderon-1002-Memory_NK-Control,Calderon-1002-Memory_NK-Control-1,Calderon-1002,NK,Memory_NK,FALSE,Control,1,ATAC-Seq,137,5397393710,PRJNA484801,SAMN09769970,2376966626,GEO,public,SRX4513741,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320308,SRP156496
SRR7650810,Calderon-1002-Myeloid_DCs-Control,Calderon-1002-Myeloid_DCs-Control-1,Calderon-1002,MYELOID,Myeloid_DCs,FALSE,Control,1,ATAC-Seq,133,3139034600,PRJNA484801,SAMN09769968,1406156520,GEO,public,SRX4513743,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320310,SRP156496
SRR7650811,Calderon-1002-pDCs-Control,Calderon-1002-pDCs-Control-1,Calderon-1002,MYELOID,pDCs,FALSE,Control,1,ATAC-Seq,137,6510712415,PRJNA484801,SAMN09769967,2919547070,GEO,public,SRX4513744,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320311,SRP156496
SRR7650812,Calderon-1003-Bulk_B-Control,Calderon-1003-Bulk_B-Control-1,Calderon-1003,B,Bulk_B,FALSE,Control,1,ATAC-Seq,115,3682701205,PRJNA484801,SAMN09769966,1722537168,GEO,public,SRX4513745,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320312,SRP156496
SRR7650813,Calderon-1003-Bulk_B-Treatment_1,Calderon-1003-Bulk_B-Treatment_1-1,Calderon-1003,B,Bulk_B,TRUE,Treatment_1,1,ATAC-Seq,118,8732557210,PRJNA484801,SAMN09769938,3709280117,GEO,public,SRX4513746,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320313,SRP156496
SRR7650833,Calderon-1003-Memory_Teffs-Treatment_1,Calderon-1003-Memory_Teffs-Treatment_1-1,Calderon-1003,CD4,Memory_Teffs,TRUE,Treatment_1,1,ATAC-Seq,120,11744519821,PRJNA484801,SAMN09769923,5061977584,GEO,public,SRX4513766,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320333,SRP156496
SRR7650834,Calderon-1003-Memory_Tregs-Control,Calderon-1003-Memory_Tregs-Control-1,Calderon-1003,CD4,Memory_Tregs,FALSE,Control,1,ATAC-Seq,110,13509140735,PRJNA484801,SAMN09769922,5807698009,GEO,public,SRX4513767,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320334,SRP156496
SRR7650842,Calderon-1003-Th17_precursors-Treatment_1,Calderon-1003-Th17_precursors-Treatment_1-1,Calderon-1003,CD4,Th17_precursors,TRUE,Treatment_1,1,ATAC-Seq,121,8695603454,PRJNA484801,SAMN09769901,3824716267,GEO,public,SRX4513775,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320342,SRP156496
SRR7650843,Calderon-1003-Th2_precursors-Control,Calderon-1003-Th2_precursors-Control-1,Calderon-1003,CD4,Th2_precursors,FALSE,Control,1,ATAC-Seq,116,6201074919,PRJNA484801,SAMN09769900,2785201845,GEO,public,SRX4513776,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320343,SRP156496
SRR7650844,Calderon-1003-Th2_precursors-Treatment_1,Calderon-1003-Th2_precursors-Treatment_1-1,Calderon-1003,CD4,Th2_precursors,TRUE,Treatment_1,1,ATAC-Seq,113,7461159963,PRJNA484801,SAMN09769917,3204520849,GEO,public,SRX4513777,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320344,SRP156496
SRR7650845,Calderon-1003-Immature_NK-Control,Calderon-1003-Immature_NK-Control-1,Calderon-1003,NK,Immature_NK,FALSE,Control,1,ATAC-Seq,103,4982431640,PRJNA484801,SAMN09769899,2348284921,GEO,public,SRX4513778,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320345,SRP156496
SRR7650846,Calderon-1003-Mature_NK-Control,Calderon-1003-Mature_NK-Control-1,Calderon-1003,NK,Mature_NK,FALSE,Control,1,ATAC-Seq,113,4821830055,PRJNA484801,SAMN09769898,2233996112,GEO,public,SRX4513779,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320346,SRP156496
SRR7650847,Calderon-1003-Mature_NK-Treatment_1,Calderon-1003-Mature_NK-Treatment_1-1,Calderon-1003,NK,Mature_NK,TRUE,Treatment_1,1,ATAC-Seq,122,5521513735,PRJNA484801,SAMN09769897,2570028267,GEO,public,SRX4513780,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320347,SRP156496
